"Subj","Block","TrialNo","TargetWord","ImageL","ImageR","TargetImage","DistractorImage","Audio","StimType","BlockOrder"
"02","Block2",21,"cup","cup2","sock2","ImageL","ImageR","Fin_hi_the_V_Cup_neut","filler",1
"02","Block2",22,"dog","dog4","book4","ImageL","ImageR","Fin_hi_the_V_Dog_neut","neutral",1
"02","Block2",23,"book","book2","dog2","ImageL","ImageR","Fin_lo_the_B_Book_faci","facilitating",1
"02","Block2",24,"cookie","shoe2","cookie2","ImageR","ImageL","Whe_lo_the_V_Cookie_neut","filler",1
"02","Block2",25,"duck","ball2","duck2","ImageR","ImageL","See_hi_the_D_Duck_faci","facilitating",1
"02","Block2",26,"dog","book1","dog1","ImageR","ImageL","See_lo_the_V_Dog_neut","neutral",1
"02","Block2",27,"sock","cup1","sock1","ImageR","ImageL","Whe_hi_the_V_Sock_neut","filler",1
"02","Block2",28,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_V_Ball_neut","neutral",1
"02","Block2",29,"duck","duck1","ball1","ImageL","ImageR","Whe_lo_the_V_Duck_neut","neutral",1
"02","Block2",30,"shoe","shoe1","cookie1","ImageL","ImageR","See_hi_the_V_Shoe_neut","filler",1
"02","Block2",31,"book","dog4","book4","ImageR","ImageL","See_hi_the_B_Book_faci","facilitating",1
"02","Block2",32,"dog","dog3","book3","ImageL","ImageR","Fin_lo_the_D_Dog_faci","facilitating",1
"02","Block2",33,"car","cat1","car1","ImageR","ImageL","Whe_lo_the_V_Car_neut","filler",1
"02","Block2",34,"ball","ball3","duck3","ImageL","ImageR","Fin_hi_the_V_Ball_neut","neutral",1
"02","Block2",35,"dog","book1","dog1","ImageR","ImageL","See_hi_the_D_Dog_faci","facilitating",1
"02","Block2",36,"cookie","shoe1","cookie1","ImageR","ImageL","See_lo_the_V_Cookie_neut","filler",1
"02","Block2",37,"duck","duck3","ball3","ImageL","ImageR","Fin_lo_the_D_Duck_faci","facilitating",1
"02","Block2",38,"book","dog3","book3","ImageR","ImageL","Fin_hi_the_V_Book_neut","neutral",1
"04","Block1",1,"book","book3","dog3","ImageL","ImageR","Whe_hi_the_V_Book_neut","neutral",1
"04","Block1",2,"ball","duck1","ball1","ImageR","ImageL","Fin_lo_the_B_Ball_faci","facilitating",1
"04","Block1",3,"sock","cup1","sock1","ImageR","ImageL","See_lo_the_V_Sock_neut","filler",1
"04","Block1",4,"duck","duck2","ball2","ImageL","ImageR","Whe_hi_the_D_Duck_faci","facilitating",1
"04","Block1",5,"book","book4","dog4","ImageL","ImageR","Whe_hi_the_B_Book_faci","facilitating",1
"04","Block1",6,"cat","car1","cat1","ImageR","ImageL","Fin_lo_the_V_Cat_neut","filler",1
"04","Block1",7,"ball","ball4","duck4","ImageL","ImageR","Fin_lo_the_V_Ball_neut","neutral",1
"04","Block1",8,"book","dog2","book2","ImageR","ImageL","See_hi_the_V_Book_neut","neutral",1
"04","Block1",9,"cookie","cookie1","shoe1","ImageL","ImageR","Whe_lo_the_V_Cookie_neut","filler",1
"04","Block1",10,"ball","duck3","ball3","ImageR","ImageL","Fin_hi_the_V_Ball_neut","neutral",1
"04","Block1",11,"dog","dog3","book3","ImageL","ImageR","See_lo_the_D_Dog_faci","facilitating",1
"04","Block1",12,"car","car2","cat2","ImageL","ImageR","See_lo_the_V_Car_neut","filler",1
"04","Block1",13,"book","dog2","book2","ImageR","ImageL","Fin_lo_the_B_Book_faci","facilitating",1
"04","Block1",14,"duck","ball2","duck2","ImageR","ImageL","Whe_hi_the_V_Duck_neut","neutral",1
"04","Block1",15,"shoe","cookie2","shoe2","ImageR","ImageL","Fin_lo_the_V_Shoe_neut","filler",1
"04","Block1",16,"duck","ball3","duck3","ImageR","ImageL","Whe_lo_the_D_Duck_faci","facilitating",1
"04","Block1",17,"dog","dog1","book1","ImageL","ImageR","See_hi_the_V_Dog_neut","neutral",1
"04","Block1",18,"cup","cup2","sock2","ImageL","ImageR","Whe_hi_the_V_Cup_neut","filler",1
"04","Block1",19,"dog","book4","dog4","ImageR","ImageL","Whe_hi_the_V_Dog_neut","neutral",1
"04","Block1",20,"ball","ball4","duck4","ImageL","ImageR","See_lo_the_B_Ball_faci","facilitating",1
"04","Block1",21,"cat","cat1","car1","ImageL","ImageR","Whe_hi_the_V_Cat_neut","filler",1
"04","Block1",22,"duck","duck1","ball1","ImageL","ImageR","See_lo_the_V_Duck_neut","neutral",1
"04","Block1",23,"dog","book1","dog1","ImageR","ImageL","Fin_hi_the_D_Dog_faci","facilitating",1
"04","Block2",24,"book","book2","dog2","ImageL","ImageR","See_lo_the_V_Book_neut","neutral",2
"04","Block2",25,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_B_Ball_faci","facilitating",2
"04","Block2",26,"cat","cat2","car2","ImageL","ImageR","See_hi_the_V_Cat_neut","filler",2
"04","Block2",27,"duck","ball2","duck2","ImageR","ImageL","Fin_hi_the_V_Duck_neut","neutral",2
"04","Block2",28,"ball","ball1","duck1","ImageL","ImageR","See_hi_the_B_Ball_faci","facilitating",2
"04","Block2",29,"cup","cup2","sock2","ImageL","ImageR","Fin_hi_the_V_Cup_neut","filler",2
"04","Block2",30,"dog","dog4","book4","ImageL","ImageR","Fin_hi_the_V_Dog_neut","neutral",2
"04","Block2",31,"book","book2","dog2","ImageL","ImageR","Fin_lo_the_B_Book_faci","facilitating",2
"04","Block2",32,"cookie","shoe2","cookie2","ImageR","ImageL","Whe_lo_the_V_Cookie_neut","filler",2
"04","Block2",33,"duck","ball2","duck2","ImageR","ImageL","See_hi_the_D_Duck_faci","facilitating",2
"04","Block2",34,"dog","book1","dog1","ImageR","ImageL","See_lo_the_V_Dog_neut","neutral",2
"04","Block2",35,"sock","cup1","sock1","ImageR","ImageL","Whe_hi_the_V_Sock_neut","filler",2
"04","Block2",36,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_V_Ball_neut","neutral",2
"04","Block2",37,"duck","duck1","ball1","ImageL","ImageR","Whe_lo_the_V_Duck_neut","neutral",2
"04","Block2",38,"shoe","shoe1","cookie1","ImageL","ImageR","See_hi_the_V_Shoe_neut","filler",2
"04","Block2",39,"book","dog4","book4","ImageR","ImageL","See_hi_the_B_Book_faci","facilitating",2
"04","Block2",40,"dog","dog3","book3","ImageL","ImageR","Fin_lo_the_D_Dog_faci","facilitating",2
"04","Block2",41,"car","cat1","car1","ImageR","ImageL","Whe_lo_the_V_Car_neut","filler",2
"04","Block2",42,"ball","ball3","duck3","ImageL","ImageR","Fin_hi_the_V_Ball_neut","neutral",2
"04","Block2",43,"dog","book1","dog1","ImageR","ImageL","See_hi_the_D_Dog_faci","facilitating",2
"04","Block2",44,"cookie","shoe1","cookie1","ImageR","ImageL","See_lo_the_V_Cookie_neut","filler",2
"04","Block2",45,"duck","duck3","ball3","ImageL","ImageR","Fin_lo_the_D_Duck_faci","facilitating",2
"04","Block2",46,"book","dog3","book3","ImageR","ImageL","Fin_hi_the_V_Book_neut","neutral",2
"05","Block1",1,"book","book3","dog3","ImageL","ImageR","Whe_hi_the_V_Book_neut","neutral",2
"05","Block1",2,"ball","duck1","ball1","ImageR","ImageL","Fin_lo_the_B_Ball_faci","facilitating",2
"05","Block1",3,"sock","cup1","sock1","ImageR","ImageL","See_lo_the_V_Sock_neut","filler",2
"05","Block1",4,"duck","duck2","ball2","ImageL","ImageR","Whe_hi_the_D_Duck_faci","facilitating",2
"05","Block1",5,"book","book4","dog4","ImageL","ImageR","Whe_hi_the_B_Book_faci","facilitating",2
"05","Block1",6,"cat","car1","cat1","ImageR","ImageL","Fin_lo_the_V_Cat_neut","filler",2
"05","Block1",7,"ball","ball4","duck4","ImageL","ImageR","Fin_lo_the_V_Ball_neut","neutral",2
"05","Block1",8,"book","dog2","book2","ImageR","ImageL","See_hi_the_V_Book_neut","neutral",2
"05","Block1",9,"cookie","cookie1","shoe1","ImageL","ImageR","Whe_lo_the_V_Cookie_neut","filler",2
"05","Block1",10,"ball","duck3","ball3","ImageR","ImageL","Fin_hi_the_V_Ball_neut","neutral",2
"05","Block1",11,"dog","dog3","book3","ImageL","ImageR","See_lo_the_D_Dog_faci","facilitating",2
"05","Block1",12,"car","car2","cat2","ImageL","ImageR","See_lo_the_V_Car_neut","filler",2
"05","Block1",13,"book","dog2","book2","ImageR","ImageL","Fin_lo_the_B_Book_faci","facilitating",2
"05","Block1",14,"duck","ball2","duck2","ImageR","ImageL","Whe_hi_the_V_Duck_neut","neutral",2
"05","Block1",15,"shoe","cookie2","shoe2","ImageR","ImageL","Fin_lo_the_V_Shoe_neut","filler",2
"05","Block1",16,"duck","ball3","duck3","ImageR","ImageL","Whe_lo_the_D_Duck_faci","facilitating",2
"05","Block1",17,"dog","dog1","book1","ImageL","ImageR","See_hi_the_V_Dog_neut","neutral",2
"05","Block1",18,"cup","cup2","sock2","ImageL","ImageR","Whe_hi_the_V_Cup_neut","filler",2
"05","Block1",19,"dog","book4","dog4","ImageR","ImageL","Whe_hi_the_V_Dog_neut","neutral",2
"05","Block1",20,"ball","ball4","duck4","ImageL","ImageR","See_lo_the_B_Ball_faci","facilitating",2
"05","Block1",21,"cat","cat1","car1","ImageL","ImageR","Whe_hi_the_V_Cat_neut","filler",2
"05","Block1",22,"duck","duck1","ball1","ImageL","ImageR","See_lo_the_V_Duck_neut","neutral",2
"05","Block1",23,"dog","book1","dog1","ImageR","ImageL","Fin_hi_the_D_Dog_faci","facilitating",2
"05","Block2",24,"book","book2","dog2","ImageL","ImageR","See_lo_the_V_Book_neut","neutral",1
"05","Block2",25,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_B_Ball_faci","facilitating",1
"05","Block2",26,"cat","cat2","car2","ImageL","ImageR","See_hi_the_V_Cat_neut","filler",1
"05","Block2",27,"duck","ball2","duck2","ImageR","ImageL","Fin_hi_the_V_Duck_neut","neutral",1
"05","Block2",28,"ball","ball1","duck1","ImageL","ImageR","See_hi_the_B_Ball_faci","facilitating",1
"05","Block2",29,"cup","cup2","sock2","ImageL","ImageR","Fin_hi_the_V_Cup_neut","filler",1
"05","Block2",30,"dog","dog4","book4","ImageL","ImageR","Fin_hi_the_V_Dog_neut","neutral",1
"05","Block2",31,"book","book2","dog2","ImageL","ImageR","Fin_lo_the_B_Book_faci","facilitating",1
"05","Block2",32,"cookie","shoe2","cookie2","ImageR","ImageL","Whe_lo_the_V_Cookie_neut","filler",1
"05","Block2",33,"duck","ball2","duck2","ImageR","ImageL","See_hi_the_D_Duck_faci","facilitating",1
"05","Block2",34,"dog","book1","dog1","ImageR","ImageL","See_lo_the_V_Dog_neut","neutral",1
"05","Block2",35,"sock","cup1","sock1","ImageR","ImageL","Whe_hi_the_V_Sock_neut","filler",1
"05","Block2",36,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_V_Ball_neut","neutral",1
"05","Block2",37,"duck","duck1","ball1","ImageL","ImageR","Whe_lo_the_V_Duck_neut","neutral",1
"05","Block2",38,"shoe","shoe1","cookie1","ImageL","ImageR","See_hi_the_V_Shoe_neut","filler",1
"05","Block2",39,"book","dog4","book4","ImageR","ImageL","See_hi_the_B_Book_faci","facilitating",1
"05","Block2",40,"dog","dog3","book3","ImageL","ImageR","Fin_lo_the_D_Dog_faci","facilitating",1
"05","Block2",41,"car","cat1","car1","ImageR","ImageL","Whe_lo_the_V_Car_neut","filler",1
"05","Block2",42,"ball","ball3","duck3","ImageL","ImageR","Fin_hi_the_V_Ball_neut","neutral",1
"05","Block2",43,"dog","book1","dog1","ImageR","ImageL","See_hi_the_D_Dog_faci","facilitating",1
"05","Block2",44,"cookie","shoe1","cookie1","ImageR","ImageL","See_lo_the_V_Cookie_neut","filler",1
"05","Block2",45,"duck","duck3","ball3","ImageL","ImageR","Fin_lo_the_D_Duck_faci","facilitating",1
"05","Block2",46,"book","dog3","book3","ImageR","ImageL","Fin_hi_the_V_Book_neut","neutral",1
"06","Block1",1,"book","book3","dog3","ImageL","ImageR","Whe_hi_the_V_Book_neut","neutral",1
"06","Block1",2,"ball","duck1","ball1","ImageR","ImageL","Fin_lo_the_B_Ball_faci","facilitating",1
"06","Block1",3,"sock","cup1","sock1","ImageR","ImageL","See_lo_the_V_Sock_neut","filler",1
"06","Block1",4,"duck","duck2","ball2","ImageL","ImageR","Whe_hi_the_D_Duck_faci","facilitating",1
"06","Block1",5,"book","book4","dog4","ImageL","ImageR","Whe_hi_the_B_Book_faci","facilitating",1
"06","Block1",6,"cat","car1","cat1","ImageR","ImageL","Fin_lo_the_V_Cat_neut","filler",1
"06","Block1",7,"ball","ball4","duck4","ImageL","ImageR","Fin_lo_the_V_Ball_neut","neutral",1
"06","Block1",8,"book","dog2","book2","ImageR","ImageL","See_hi_the_V_Book_neut","neutral",1
"06","Block1",9,"cookie","cookie1","shoe1","ImageL","ImageR","Whe_lo_the_V_Cookie_neut","filler",1
"06","Block1",10,"ball","duck3","ball3","ImageR","ImageL","Fin_hi_the_V_Ball_neut","neutral",1
"06","Block1",11,"dog","dog3","book3","ImageL","ImageR","See_lo_the_D_Dog_faci","facilitating",1
"06","Block1",12,"car","car2","cat2","ImageL","ImageR","See_lo_the_V_Car_neut","filler",1
"06","Block1",13,"book","dog2","book2","ImageR","ImageL","Fin_lo_the_B_Book_faci","facilitating",1
"06","Block1",14,"duck","ball2","duck2","ImageR","ImageL","Whe_hi_the_V_Duck_neut","neutral",1
"06","Block1",15,"shoe","cookie2","shoe2","ImageR","ImageL","Fin_lo_the_V_Shoe_neut","filler",1
"06","Block1",16,"duck","ball3","duck3","ImageR","ImageL","Whe_lo_the_D_Duck_faci","facilitating",1
"06","Block1",17,"dog","dog1","book1","ImageL","ImageR","See_hi_the_V_Dog_neut","neutral",1
"06","Block1",18,"cup","cup2","sock2","ImageL","ImageR","Whe_hi_the_V_Cup_neut","filler",1
"06","Block1",19,"dog","book4","dog4","ImageR","ImageL","Whe_hi_the_V_Dog_neut","neutral",1
"06","Block1",20,"ball","ball4","duck4","ImageL","ImageR","See_lo_the_B_Ball_faci","facilitating",1
"06","Block1",21,"cat","cat1","car1","ImageL","ImageR","Whe_hi_the_V_Cat_neut","filler",1
"06","Block1",22,"duck","duck1","ball1","ImageL","ImageR","See_lo_the_V_Duck_neut","neutral",1
"06","Block1",23,"dog","book1","dog1","ImageR","ImageL","Fin_hi_the_D_Dog_faci","facilitating",1
"06","Block2",24,"book","book2","dog2","ImageL","ImageR","See_lo_the_V_Book_neut","neutral",2
"06","Block2",25,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_B_Ball_faci","facilitating",2
"06","Block2",26,"cat","cat2","car2","ImageL","ImageR","See_hi_the_V_Cat_neut","filler",2
"06","Block2",27,"duck","ball2","duck2","ImageR","ImageL","Fin_hi_the_V_Duck_neut","neutral",2
"06","Block2",28,"ball","ball1","duck1","ImageL","ImageR","See_hi_the_B_Ball_faci","facilitating",2
"06","Block2",29,"cup","cup2","sock2","ImageL","ImageR","Fin_hi_the_V_Cup_neut","filler",2
"06","Block2",30,"dog","dog4","book4","ImageL","ImageR","Fin_hi_the_V_Dog_neut","neutral",2
"06","Block2",31,"book","book2","dog2","ImageL","ImageR","Fin_lo_the_B_Book_faci","facilitating",2
"06","Block2",32,"cookie","shoe2","cookie2","ImageR","ImageL","Whe_lo_the_V_Cookie_neut","filler",2
"06","Block2",33,"duck","ball2","duck2","ImageR","ImageL","See_hi_the_D_Duck_faci","facilitating",2
"06","Block2",34,"dog","book1","dog1","ImageR","ImageL","See_lo_the_V_Dog_neut","neutral",2
"06","Block2",35,"sock","cup1","sock1","ImageR","ImageL","Whe_hi_the_V_Sock_neut","filler",2
"06","Block2",36,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_V_Ball_neut","neutral",2
"06","Block2",37,"duck","duck1","ball1","ImageL","ImageR","Whe_lo_the_V_Duck_neut","neutral",2
"06","Block2",38,"shoe","shoe1","cookie1","ImageL","ImageR","See_hi_the_V_Shoe_neut","filler",2
"06","Block2",39,"book","dog4","book4","ImageR","ImageL","See_hi_the_B_Book_faci","facilitating",2
"06","Block2",40,"dog","dog3","book3","ImageL","ImageR","Fin_lo_the_D_Dog_faci","facilitating",2
"06","Block2",41,"car","cat1","car1","ImageR","ImageL","Whe_lo_the_V_Car_neut","filler",2
"06","Block2",42,"ball","ball3","duck3","ImageL","ImageR","Fin_hi_the_V_Ball_neut","neutral",2
"06","Block2",43,"dog","book1","dog1","ImageR","ImageL","See_hi_the_D_Dog_faci","facilitating",2
"06","Block2",44,"cookie","shoe1","cookie1","ImageR","ImageL","See_lo_the_V_Cookie_neut","filler",2
"06","Block2",45,"duck","duck3","ball3","ImageL","ImageR","Fin_lo_the_D_Duck_faci","facilitating",2
"06","Block2",46,"book","dog3","book3","ImageR","ImageL","Fin_hi_the_V_Book_neut","neutral",2
"07","Block1",1,"book","book3","dog3","ImageL","ImageR","Whe_hi_the_V_Book_neut","neutral",2
"07","Block1",2,"ball","duck1","ball1","ImageR","ImageL","Fin_lo_the_B_Ball_faci","facilitating",2
"07","Block1",3,"sock","cup1","sock1","ImageR","ImageL","See_lo_the_V_Sock_neut","filler",2
"07","Block1",4,"duck","duck2","ball2","ImageL","ImageR","Whe_hi_the_D_Duck_faci","facilitating",2
"07","Block1",5,"book","book4","dog4","ImageL","ImageR","Whe_hi_the_B_Book_faci","facilitating",2
"07","Block1",6,"cat","car1","cat1","ImageR","ImageL","Fin_lo_the_V_Cat_neut","filler",2
"07","Block1",7,"ball","ball4","duck4","ImageL","ImageR","Fin_lo_the_V_Ball_neut","neutral",2
"07","Block1",8,"book","dog2","book2","ImageR","ImageL","See_hi_the_V_Book_neut","neutral",2
"07","Block1",9,"cookie","cookie1","shoe1","ImageL","ImageR","Whe_lo_the_V_Cookie_neut","filler",2
"07","Block1",10,"ball","duck3","ball3","ImageR","ImageL","Fin_hi_the_V_Ball_neut","neutral",2
"07","Block1",11,"dog","dog3","book3","ImageL","ImageR","See_lo_the_D_Dog_faci","facilitating",2
"07","Block1",12,"car","car2","cat2","ImageL","ImageR","See_lo_the_V_Car_neut","filler",2
"07","Block1",13,"book","dog2","book2","ImageR","ImageL","Fin_lo_the_B_Book_faci","facilitating",2
"07","Block1",14,"duck","ball2","duck2","ImageR","ImageL","Whe_hi_the_V_Duck_neut","neutral",2
"07","Block1",15,"shoe","cookie2","shoe2","ImageR","ImageL","Fin_lo_the_V_Shoe_neut","filler",2
"07","Block1",16,"duck","ball3","duck3","ImageR","ImageL","Whe_lo_the_D_Duck_faci","facilitating",2
"07","Block1",17,"dog","dog1","book1","ImageL","ImageR","See_hi_the_V_Dog_neut","neutral",2
"07","Block1",18,"cup","cup2","sock2","ImageL","ImageR","Whe_hi_the_V_Cup_neut","filler",2
"07","Block1",19,"dog","book4","dog4","ImageR","ImageL","Whe_hi_the_V_Dog_neut","neutral",2
"07","Block1",20,"ball","ball4","duck4","ImageL","ImageR","See_lo_the_B_Ball_faci","facilitating",2
"07","Block1",21,"cat","cat1","car1","ImageL","ImageR","Whe_hi_the_V_Cat_neut","filler",2
"07","Block1",22,"duck","duck1","ball1","ImageL","ImageR","See_lo_the_V_Duck_neut","neutral",2
"07","Block1",23,"dog","book1","dog1","ImageR","ImageL","Fin_hi_the_D_Dog_faci","facilitating",2
"07","Block2",24,"book","book2","dog2","ImageL","ImageR","See_lo_the_V_Book_neut","neutral",1
